date,open,high,low,close,volume
2020-12-31,28897.42,29321.9,28000,28990.08,46754964848
2020-12-30,27366.35,29018.26,27311.73,28897.42,51287442704
2020-12-29,27039.39,27396.77,25833.73,27366.35,45265946774
2020-12-28,26255.16,27477,26086.19,27040.36,49056742893
2020-12-27,26482.64,28387,25772.55,26258.65,66479895605
2020-12-26,24704.71,26822,24490.01,26475.35,48332647295
2020-12-25,23718.61,24770.95,23416,24704.71,42068395846
2020-12-24,23226.18,23785,22712.89,23717.96,41080759713
2020-12-23,23824.13,24090,22600,23228.35,51146161904
2020-12-22,22729.4,23839.78,22380.05,23823.27,44171632681
2020-12-21,23476.51,24118.75,21913.84,22729.4,45852713981
2020-12-20,23850,24300,23100,23476.51,37844228422
2020-12-19,23138.89,24200,22770,23849.99,38487546580
2020-12-18,22826.37,23280,22329,23137.76,40387896275
2020-12-17,21360.5,23776.94,21252.01,22826.48,71378606374
2020-12-16,19443.19,21569.94,19300,21359.65,44409011479
2020-12-15,19272.37,19565,19051.27,19444.6,26741982541
2020-12-14,19166.65,19349.98,18967.68,19272.37,22473997681
2020-12-13,18821.28,19421.03,18730,19166.65,25450468637
2020-12-12,18044.19,18955.34,18023.57,18821.28,21752580802
2020-12-11,18257.18,18293.08,17580,18042.15,27919640985
2020-12-10,18546.55,18556.42,17905,18253.44,25547132265
2020-12-09,18316.22,18647.33,17639,18546.55,34420373071
2020-12-08,19177.08,19299.51,18200,18316.22,31692288756
2020-12-07,19375.6,19432.57,18901,19177.71,26896357742
2020-12-06,19158.96,19430.25,18878,19375.6,25293775714
2020-12-05,18658.09,19189.98,18501,19158.96,27242455064
2020-12-04,19446.43,19546.46,18576.05,18658.1,33872388058
2020-12-03,19222.45,19625.64,18885,19448.64,31930317405
2020-12-02,18778.18,19340,18335,19225.63,37387697139
2020-12-01,19713.94,19915.14,18109,18782.97,49633658712
2020-11-30,18202.02,19873.23,18201.47,19713.94,47728480399
2020-11-29,17736.1,18359,17535.26,18202.04,31133957704
2020-11-28,17155.43,17933.25,16880,17739.85,32601040734
2020-11-27,17169.99,17475,16400,17153.95,38886494645
2020-11-26,18717.24,18915.48,16200,17170,61396835737
2020-11-25,19172.9,19500,18502,18721.93,43710357371
2020-11-24,18384.82,19469,18052.02,19172.84,51469565009
2020-11-23,18437.18,18777.77,18001,18384.82,42741112308
